S,L,sharpe,ann_return,max_drawdown,total_pnl,hit_rate,n_days
6,91,0.2376,419.6909,-7651.28,7874.2,0.5002,4728
7,19,0.2375,419.5331,-5150.25,7871.24,0.4996,4728
4,114,0.2375,419.4659,-7204.9,7869.98,0.5036,4728
4,109,0.2374,419.402,-7275.7,7868.78,0.5025,4728
6,94,0.2373,419.2058,-7067.88,7865.1,0.4998,4728
5,96,0.2372,419.063,-7890.56,7862.42,0.5006,4728
3,36,0.2372,418.9436,-6496.17,7860.18,0.5032,4728
4,107,0.2368,418.2688,-6871.46,7847.52,0.5023,4728
13,80,0.2367,418.1676,-5770.22,7845.62,0.5027,4728
7,46,0.2362,417.1602,-5167.75,7826.72,0.5036,4728
6,30,0.2361,417.0568,-5490.0,7824.78,0.5032,4728
9,82,0.2361,417.1154,-5938.6,7825.88,0.5017,4728
3,97,0.236,416.9427,-6882.34,7822.64,0.5038,4728
9,92,0.2359,416.6485,-6029.96,7817.12,0.5021,4728
20,23,0.2358,416.4353,-5667.87,7813.12,0.5044,4728
8,85,0.2356,416.187,-7716.52,7808.46,0.5011,4728
6,93,0.2356,416.2339,-7509.14,7809.34,0.5,4728
18,21,0.2355,415.9279,-4071.5,7803.6,0.5032,4728
8,17,0.2354,415.7467,-5278.89,7800.2,0.4983,4728
6,84,0.2354,415.832,-6350.18,7801.8,0.5015,4728
15,66,0.2353,415.5538,-5050.0,7796.58,0.5034,4728
2,47,0.2353,415.5879,-7002.89,7797.22,0.5021,4728
8,90,0.2351,415.2468,-6793.16,7790.82,0.5023,4728
3,52,0.2351,415.3438,-6207.4,7792.64,0.5047,4728
4,96,0.2351,415.3139,-7206.4,7792.08,0.5032,4728
4,84,0.2349,414.9557,-5626.62,7785.36,0.5013,4728
12,29,0.2347,414.6317,-5634.67,7779.28,0.5047,4728
9,94,0.2346,414.4089,-6031.98,7775.1,0.5023,4728
10,34,0.2346,414.378,-5056.38,7774.52,0.5053,4728
8,12,0.2346,414.4803,-5138.25,7776.44,0.4975,4728
4,98,0.2344,413.959,-7130.82,7766.66,0.5038,4728
5,111,0.2344,414.0081,-7710.9,7767.58,0.503,4728
4,32,0.2342,413.7362,-6074.87,7762.48,0.5025,4728
12,74,0.2341,413.6009,-5324.5,7759.94,0.5025,4728
9,81,0.234,413.3461,-6044.32,7755.16,0.5013,4728
15,25,0.2338,412.9485,-4517.55,7747.7,0.5038,4728
4,116,0.2332,411.8772,-7802.28,7727.6,0.5038,4728
13,81,0.233,411.5051,-5770.22,7720.62,0.5025,4728
8,14,0.2329,411.4092,-6136.0,7718.82,0.4968,4728
4,82,0.2327,411.0009,-5622.82,7711.16,0.5013,4728
3,95,0.2326,410.8677,-6975.32,7708.66,0.5044,4728
12,70,0.2325,410.6193,-5043.94,7704.0,0.5015,4728
6,83,0.2325,410.7152,-6257.68,7705.8,0.5017,4728
9,93,0.2322,410.146,-6029.96,7695.12,0.5023,4728
4,33,0.232,409.8656,-6657.49,7689.86,0.5021,4728
9,32,0.2319,409.597,-4402.93,7684.82,0.5034,4728
13,76,0.2317,409.2644,-5262.76,7678.58,0.5027,4728
1,34,0.2315,408.8689,-5514.29,7671.16,0.4977,4728
4,41,0.2315,408.999,-6523.6,7673.6,0.5025,4728
4,81,0.2315,408.9755,-5376.82,7673.16,0.5011,4728
6,40,0.2314,408.6962,-4568.5,7667.92,0.5051,4728
4,111,0.2314,408.6856,-7233.66,7667.72,0.503,4728
12,82,0.2313,408.6451,-5324.88,7666.96,0.5025,4728
17,18,0.231,408.0993,-4498.96,7656.72,0.5047,4728
