date,SHFE_Copper_Stocks_kt
2012-11-26 00:00:00,-2148.0
2012-11-27 00:00:00,-250.0
2012-11-28 00:00:00,-450.0
2012-11-29 00:00:00,-976.0
2012-11-30 00:00:00,-497.0
2012-12-03 00:00:00,-350.0
2012-12-04 00:00:00,50.0
2012-12-05 00:00:00,850.0
2012-12-06 00:00:00,-2474.0
2012-12-07 00:00:00,-250.0
2012-12-10 00:00:00,-926.0
2012-12-11 00:00:00,-49.0
2012-12-12 00:00:00,250.0
2012-12-13 00:00:00,1201.0
2012-12-14 00:00:00,-3426.0
2012-12-17 00:00:00,3187.0
2012-12-18 00:00:00,5881.0
2012-12-19 00:00:00,-76.0
2012-12-20 00:00:00,-1226.0
2012-12-21 00:00:00,-1025.0
2012-12-24 00:00:00,-898.0
2012-12-25 00:00:00,-1225.0
2012-12-26 00:00:00,150.0
2012-12-27 00:00:00,2318.0
2012-12-28 00:00:00,50.0
2012-12-31 00:00:00,2621.0
2013-01-01 00:00:00,2621.0
2013-01-02 00:00:00,2621.0
2013-01-03 00:00:00,2621.0
2013-01-04 00:00:00,-100.0
2013-01-07 00:00:00,499.0
2013-01-08 00:00:00,851.0
2013-01-09 00:00:00,0.0
2013-01-10 00:00:00,228.0
2013-01-11 00:00:00,1200.0
2013-01-14 00:00:00,2908.0
2013-01-15 00:00:00,4834.0
2013-01-16 00:00:00,2982.0
2013-01-17 00:00:00,-850.0
2013-01-18 00:00:00,-2047.0
2013-01-21 00:00:00,-2773.0
2013-01-22 00:00:00,-1050.0
2013-01-23 00:00:00,-1152.0
2013-01-24 00:00:00,-824.0
2013-01-25 00:00:00,-855.0
2013-01-28 00:00:00,-225.0
2013-01-29 00:00:00,-201.0
2013-01-30 00:00:00,-399.0
2013-01-31 00:00:00,2949.0
2013-02-01 00:00:00,-100.0
2013-02-04 00:00:00,425.0
2013-02-05 00:00:00,-174.0
2013-02-06 00:00:00,224.0
2013-02-07 00:00:00,3021.0
2013-02-08 00:00:00,5507.0
2013-02-11 00:00:00,5507.0
2013-02-12 00:00:00,5507.0
2013-02-13 00:00:00,5507.0
2013-02-14 00:00:00,5507.0
2013-02-15 00:00:00,5507.0
2013-02-18 00:00:00,6355.0
2013-02-19 00:00:00,874.0
